record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
skill_lock,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_poisons_2,wh2_main_skill_def_spy_poison_2,Manbane,Even the merest scratch caused by a blade edged with Manbane causes death.,causes_fear.png,2,1,0,0,true,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh2_main_skill_def_spy_poison_1,Dark Venom,1,,,,,,,,character_skill_nodes_skill_locks_tables,wh2_main_skill_node_def_assassin_poisons_2|wh2_main_skill_def_spy_poison_1|1
skill_lock,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_poisons_2,wh2_main_skill_def_spy_poison_2,Manbane,Even the merest scratch caused by a blade edged with Manbane causes death.,causes_fear.png,2,1,0,0,true,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh2_main_skill_def_spy_poison_3,Black Lotus,1,,,,,,,,character_skill_nodes_skill_locks_tables,wh2_main_skill_node_def_assassin_poisons_2|wh2_main_skill_def_spy_poison_3|1
node,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_combat_1_2,wh_main_skill_all_spy_self_elusive,Elusive,"Stay in one place, gods-damn you!",character_defence.png,2,2,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_def_assassin_combat_1_2
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_combat_1_2,wh_main_skill_all_spy_self_elusive,Elusive,"Stay in one place, gods-damn you!",character_defence.png,2,2,0,0,true,0,3,1,Elusive,"Stay in one place, gods-damn you!",,,,,,wh_main_effect_character_stat_melee_defence,Melee defence: %+n,,character_to_character_own,3,both,150,true,defence_character.png,defence_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_spy_self_elusive|wh_main_effect_character_stat_melee_defence|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_combat_1_2,wh_main_skill_all_spy_self_elusive,Elusive,"Stay in one place, gods-damn you!",character_defence.png,2,2,0,0,true,0,3,2,Elusive,"Stay in one place, gods-damn you!",,,,,,wh_main_effect_character_stat_melee_defence,Melee defence: %+n,,character_to_character_own,7,both,150,true,defence_character.png,defence_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_spy_self_elusive|wh_main_effect_character_stat_melee_defence|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_combat_1_2,wh_main_skill_all_spy_self_elusive,Elusive,"Stay in one place, gods-damn you!",character_defence.png,2,2,0,0,true,0,3,3,Elusive,"Stay in one place, gods-damn you!",,,,,,wh_main_effect_character_stat_melee_defence,Melee defence: %+n,,character_to_character_own,12,both,150,true,defence_character.png,defence_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_spy_self_elusive|wh_main_effect_character_stat_melee_defence|3|character_to_character_own
node,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_missile_2,wh2_main_skill_def_combat_deadeye,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",character_ammo.png,2,3,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_def_assassin_missile_2
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_missile_2,wh2_main_skill_def_combat_deadeye,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",character_ammo.png,2,3,0,0,true,0,3,1,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",,,,,,wh_main_effect_character_stat_ammunition,Ammunition: %+n%,,character_to_character_own,10,both,210,true,ammo_character.png,ammo_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_def_combat_deadeye|wh_main_effect_character_stat_ammunition|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_missile_2,wh2_main_skill_def_combat_deadeye,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",character_ammo.png,2,3,0,0,true,0,3,1,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",,,,,,wh_main_effect_character_stat_reload_time_reduction,Reload time reduction: %+n%,,character_to_character_own,4,both,260,true,icon_stat_reload_time_character.png,icon_stat_reload_time_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_def_combat_deadeye|wh_main_effect_character_stat_reload_time_reduction|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_missile_2,wh2_main_skill_def_combat_deadeye,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",character_ammo.png,2,3,0,0,true,0,3,2,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",,,,,,wh_main_effect_character_stat_ammunition,Ammunition: %+n%,,character_to_character_own,20,both,210,true,ammo_character.png,ammo_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_def_combat_deadeye|wh_main_effect_character_stat_ammunition|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_missile_2,wh2_main_skill_def_combat_deadeye,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",character_ammo.png,2,3,0,0,true,0,3,2,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",,,,,,wh_main_effect_character_stat_reload_time_reduction,Reload time reduction: %+n%,,character_to_character_own,9,both,260,true,icon_stat_reload_time_character.png,icon_stat_reload_time_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_def_combat_deadeye|wh_main_effect_character_stat_reload_time_reduction|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_missile_2,wh2_main_skill_def_combat_deadeye,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",character_ammo.png,2,3,0,0,true,0,3,3,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",,,,,,wh_main_effect_character_stat_ammunition,Ammunition: %+n%,,character_to_character_own,30,both,210,true,ammo_character.png,ammo_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_def_combat_deadeye|wh_main_effect_character_stat_ammunition|3|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Dark Elves,dark_elves,wh2_main_sc_def_dark_elves,Khainite Assassin,Khainite_Assassin,hero,wh2_main_def_khainite_assassin,spy,spy,wh2_dlc10_def_blood_voyage|wh2_dlc11_def_the_blessed_dread|wh2_dlc11_def_the_blessed_dread_separatists|wh2_main_def_bleak_holds|wh2_main_def_blood_hall_coven|wh2_main_def_clar_karond|wh2_main_def_cult_of_excess|wh2_main_def_cult_of_pleasure|wh2_main_def_cult_of_pleasure_separatists|wh2_main_def_dark_elves|wh2_main_def_dark_elves_qb1|wh2_main_def_dark_elves_qb2|wh2_main_def_dark_elves_qb3|wh2_main_def_dark_elves_qb4|wh2_main_def_dark_elves_rebels|wh2_main_def_deadwood_sentinels|wh2_main_def_drackla_coven|wh2_main_def_ghrond|wh2_main_def_hag_graef|wh2_main_def_har_ganeth|wh2_main_def_har_ganeth_separatists|wh2_main_def_karond_kar|wh2_main_def_naggarond|wh2_main_def_naggarond_separatists|wh2_main_def_scourge_of_khaine|wh2_main_def_ssildra_tor|wh2_main_def_the_forgebound|wh2_twa03_def_rakarth|wh2_twa03_def_rakarth_separatists|wh3_dlc26_def_dark_elves_invasion|wh3_dlc27_def_dark_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_def_khainite_assassin,,1,spy,false,false,,,,wh2_main_skill_node_def_assassin_missile_2,wh2_main_skill_def_combat_deadeye,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",character_ammo.png,2,3,0,0,true,0,3,3,Deadeye,"Although precision in missile combat is something that can be learned, this one was born with a high degree of natural talent.",,,,,,wh_main_effect_character_stat_reload_time_reduction,Reload time reduction: %+n%,,character_to_character_own,15,both,260,true,icon_stat_reload_time_character.png,icon_stat_reload_time_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_def_combat_deadeye|wh_main_effect_character_stat_reload_time_reduction|3|character_to_character_own
