record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_01,wh2_main_skill_all_hero_assist_army_replenish_troops,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,campaign_replenishment.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_replenish_troops|2|||
skill_level,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_01,wh2_main_skill_all_hero_assist_army_replenish_troops,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,campaign_replenishment.png,0,5,0,0,true,0,3,3,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_replenish_troops|3|||
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_01,wh2_main_skill_all_hero_assist_army_replenish_troops,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,campaign_replenishment.png,0,5,0,0,true,0,3,1,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,,,,,,wh2_main_effect_agent_action_assist_army_replenish_troops_buff,[[col:yellow]]{{tr:agent_action_name_replenish_troops}}[[/col]] action: Replenishment rate is increased by an additional %n%,[[col:yellow]]{{tr:agent_action_name_replenish_troops}}[[/col]] (Assist Army)\\nIncreases replenishment of the parent army.,character_to_character_own,3,campaign,7,true,replenishment.png,replenishment.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_assist_army_replenish_troops|wh2_main_effect_agent_action_assist_army_replenish_troops_buff|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_01,wh2_main_skill_all_hero_assist_army_replenish_troops,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,campaign_replenishment.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,,,,,,wh2_main_effect_agent_action_assist_army_replenish_troops_buff,[[col:yellow]]{{tr:agent_action_name_replenish_troops}}[[/col]] action: Replenishment rate is increased by an additional %n%,[[col:yellow]]{{tr:agent_action_name_replenish_troops}}[[/col]] (Assist Army)\\nIncreases replenishment of the parent army.,character_to_character_own,6,campaign,7,true,replenishment.png,replenishment.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_assist_army_replenish_troops|wh2_main_effect_agent_action_assist_army_replenish_troops_buff|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_01,wh2_main_skill_all_hero_assist_army_replenish_troops,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,campaign_replenishment.png,0,5,0,0,true,0,3,3,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,,,,,,wh2_main_effect_agent_action_assist_army_replenish_troops_buff,[[col:yellow]]{{tr:agent_action_name_replenish_troops}}[[/col]] action: Replenishment rate is increased by an additional %n%,[[col:yellow]]{{tr:agent_action_name_replenish_troops}}[[/col]] (Assist Army)\\nIncreases replenishment of the parent army.,character_to_character_own,9,campaign,7,true,replenishment.png,replenishment.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_hero_assist_army_replenish_troops|wh2_main_effect_agent_action_assist_army_replenish_troops_buff|3|character_to_character_own
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_set_hef_noble_innate_01,wh2_main_skill_innate_hef_noble_campaign_0_divisive,Divisive,"Hmmm interesting. I do wonder if there's a third way, however…",trait_high_elves.png,0,6,0,0,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_set_hef_noble_innate_01
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_set_hef_noble_innate_01,wh2_main_skill_innate_hef_noble_campaign_0_divisive,Divisive,"Hmmm interesting. I do wonder if there's a third way, however…",trait_high_elves.png,0,6,0,0,false,0,1,1,Divisive,"Hmmm interesting. I do wonder if there's a third way, however…",,,,,,wh_main_effect_public_order_characters,{{tr:public_order_effect}}: %+n,,character_to_province_own,-2,campaign,6,true,public_order.png,public_order.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_innate_hef_noble_campaign_0_divisive|wh_main_effect_public_order_characters|1|character_to_province_own
node,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_actions_dummy,wh2_main_skill_all_dummy_agent_actions_hef_noble,Actions [HIDDEN],,battle_attack.png,0,8,1,0,false,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh2_main_skill_node_hef_noble_campaign_actions_dummy
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_actions_dummy,wh2_main_skill_all_dummy_agent_actions_hef_noble,Actions [HIDDEN],,battle_attack.png,0,8,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_champion_assist_army_replenish_troops,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_dummy_agent_actions_hef_noble|wh2_main_effect_agent_action_enable_champion_assist_army_replenish_troops|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_actions_dummy,wh2_main_skill_all_dummy_agent_actions_hef_noble,Actions [HIDDEN],,battle_attack.png,0,8,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_champion_hinder_agent_assassinate,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_dummy_agent_actions_hef_noble|wh2_main_effect_agent_action_enable_champion_hinder_agent_assassinate|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_actions_dummy,wh2_main_skill_all_dummy_agent_actions_hef_noble,Actions [HIDDEN],,battle_attack.png,0,8,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_champion_hinder_army_assault_units,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_dummy_agent_actions_hef_noble|wh2_main_effect_agent_action_enable_champion_hinder_army_assault_units|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_actions_dummy,wh2_main_skill_all_dummy_agent_actions_hef_noble,Actions [HIDDEN],,battle_attack.png,0,8,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_champion_hinder_settlement_gain_influence,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_dummy_agent_actions_hef_noble|wh2_main_effect_agent_action_enable_champion_hinder_settlement_gain_influence|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_actions_dummy,wh2_main_skill_all_dummy_agent_actions_hef_noble,Actions [HIDDEN],,battle_attack.png,0,8,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_champion_hinder_settlement_scout_settlement,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_dummy_agent_actions_hef_noble|wh2_main_effect_agent_action_enable_champion_hinder_settlement_scout_settlement|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,High Elves,high_elves,wh2_main_sc_hef_high_elves,Noble,Noble,hero,wh2_main_hef_noble,champion,champion,wh2_dlc15_hef_dragon_encounters|wh2_dlc15_hef_imrik|wh2_main_hef_avelorn|wh2_main_hef_caledor|wh2_main_hef_chrace|wh2_main_hef_citadel_of_dusk|wh2_main_hef_cothique|wh2_main_hef_eataine|wh2_main_hef_ellyrion|wh2_main_hef_fortress_of_dawn|wh2_main_hef_high_elves|wh2_main_hef_high_elves_qb1|wh2_main_hef_high_elves_qb2|wh2_main_hef_high_elves_qb3|wh2_main_hef_high_elves_qb4|wh2_main_hef_high_elves_qb5|wh2_main_hef_high_elves_qb6|wh2_main_hef_high_elves_qb7|wh2_main_hef_high_elves_qb8|wh2_main_hef_high_elves_rebels|wh2_main_hef_nagarythe|wh2_main_hef_order_of_loremasters|wh2_main_hef_saphery|wh2_main_hef_tiranoc|wh2_main_hef_tor_elasor|wh2_main_hef_yvresse|wh3_dlc26_hef_high_elves_invasion|wh3_dlc27_hef_aislinn|wh3_dlc27_hef_aislinn_confederation_owner|wh3_dlc27_hef_high_elves_dm,false,false,true,true,true,false,,,wh2_main_skill_node_set_hef_noble,,1,champion,false,false,,,,wh2_main_skill_node_hef_noble_campaign_actions_dummy,wh2_main_skill_all_dummy_agent_actions_hef_noble,Actions [HIDDEN],,battle_attack.png,0,8,1,0,false,0,1,1,Actions [HIDDEN],,,,,,,wh2_main_effect_agent_action_enable_champion_passive_increase_trade,,,character_to_character_own,1,campaign,0,true,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh2_main_skill_all_dummy_agent_actions_hef_noble|wh2_main_effect_agent_action_enable_champion_passive_increase_trade|1|character_to_character_own
