record_type,game,patch,steam_build_id,race,race_slug,subculture_key,character_name,character_slug,character_class,agent_subtype_key,primary_agent_type,permitted_agent_types,permitted_faction_keys,is_legendary_lord,is_unique_agent,is_recruitable,show_in_ui,auto_generate,is_caster,magic_lore,recruitment_category,node_set_key,node_set_name,node_set_index,node_set_agent_key,node_set_for_army,node_set_for_navy,node_set_faction_key,node_set_campaign_key,node_set_subculture_key,node_key,skill_key,skill_name,skill_description,skill_icon_path,node_tier,node_indent,points_on_creation,required_num_parents,visible_in_ui,skill_unlocked_at_rank,skill_max_level,skill_level,level_name,level_description,level_unlocked_at_rank,level_image_path,level_campaign_key,level_faction_key,level_subculture_key,effect_key,effect_description,effect_additional_tooltip,effect_scope,effect_value,effect_category,effect_priority,effect_is_positive_value_good,effect_icon,effect_icon_negative,parent_node_key,parent_skill_key,parent_skill_name,child_node_key,child_skill_key,child_skill_name,link_type,initial_descent_tiers,parent_link_position,child_link_position,parent_link_position_offset,child_link_position_offset,locked_skill_key,locked_skill_name,locked_skill_level,ancillary_key,ancillary_name,ancillary_type,ancillary_category,dilemma_key,dilemma_title,dilemma_random_selection,source_table,source_key
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh_dlc08_skill_node_nor_fimir_balefiend_fire_magic_01,wh_main_skill_all_magic_fire_01_fireball,Fireball,,wh_main_spell_fire_fireball.png,0,2,0,0,true,0,2,2,Fireball,,,,,,,wh2_main_effect_ability_miscast_fireball_upgraded,"Miscast base chance: %+n% for ""Fireball Upgraded""",,character_to_character_own,-15,both,298,false,magic.png,magic.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_magic_fire_01_fireball|wh2_main_effect_ability_miscast_fireball_upgraded|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh_dlc08_skill_node_nor_fimir_balefiend_fire_magic_01,wh_main_skill_all_magic_fire_01_fireball,Fireball,,wh_main_spell_fire_fireball.png,0,2,0,0,true,0,2,2,Fireball,,,,,,,wh2_main_effect_ability_overcast_fireball,"Overcast spell: ""Fireball Upgraded""",,character_to_character_own,1,both,292,true,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_magic_fire_01_fireball|wh2_main_effect_ability_overcast_fireball|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh_dlc08_skill_node_nor_fimir_balefiend_fire_magic_01,wh_main_skill_all_magic_fire_01_fireball,Fireball,,wh_main_spell_fire_fireball.png,0,2,0,0,true,0,2,2,Fireball,,,,,,,wh2_main_effect_ability_wom_cost_fireball,"Winds of Magic cost: %n for ""Fireball""",,character_to_character_own,-1,both,294,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_magic_fire_01_fireball|wh2_main_effect_ability_wom_cost_fireball|2|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh_dlc08_skill_node_nor_fimir_balefiend_fire_magic_01,wh_main_skill_all_magic_fire_01_fireball,Fireball,,wh_main_spell_fire_fireball.png,0,2,0,0,true,0,2,2,Fireball,,,,,,,wh2_main_effect_ability_wom_cost_fireball_upgraded,"Winds of Magic cost: %n for ""Fireball Upgraded""",,character_to_character_own,-2,both,295,false,magic_character.png,magic_character.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh_main_skill_all_magic_fire_01_fireball|wh2_main_effect_ability_wom_cost_fireball_upgraded|2|character_to_character_own
node,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_nor_fimir_balefiend_fire_shared_1,wh3_dlc27_skill_nor_shaman_balefiend_shared_dangerous_practice,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_passive_dangerous_practice}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_passive_dangerous_practice}},wh3_dlc27_character_passive_soul_eater.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh3_dlc27_skill_node_nor_fimir_balefiend_fire_shared_1
skill_level,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_nor_fimir_balefiend_fire_shared_1,wh3_dlc27_skill_nor_shaman_balefiend_shared_dangerous_practice,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_passive_dangerous_practice}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_passive_dangerous_practice}},wh3_dlc27_character_passive_soul_eater.png,0,3,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_passive_dangerous_practice}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_passive_dangerous_practice}},9,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh3_dlc27_skill_nor_shaman_balefiend_shared_dangerous_practice|1|||
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_nor_fimir_balefiend_fire_shared_1,wh3_dlc27_skill_nor_shaman_balefiend_shared_dangerous_practice,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_passive_dangerous_practice}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_passive_dangerous_practice}},wh3_dlc27_character_passive_soul_eater.png,0,3,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_passive_dangerous_practice}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_passive_dangerous_practice}},,,,,,wh3_dlc27_effect_ability_enable_dangerous_practice,"Passive ability: ""Dangerous Practice""",,character_to_character_own,1,battle,310,false,general_ability.png,general_ability.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_nor_shaman_balefiend_shared_dangerous_practice|wh3_dlc27_effect_ability_enable_dangerous_practice|1|character_to_character_own
effect,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_nor_fimir_balefiend_fire_shared_1,wh3_dlc27_skill_nor_shaman_balefiend_shared_dangerous_practice,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_passive_dangerous_practice}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_passive_dangerous_practice}},wh3_dlc27_character_passive_soul_eater.png,0,3,0,0,true,0,1,1,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_passive_dangerous_practice}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_passive_dangerous_practice}},,,,,,wh3_main_effect_spell_mastery,Spell intensity: %+n%,"Spell Intensity. Any type of spell damage, and positive or negative bonus will be modified by the given percentage amount.",character_to_character_own,30,battle,1,true,wizard.png,wizard.png,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_to_effects_junctions_tables,wh3_dlc27_skill_nor_shaman_balefiend_shared_dangerous_practice|wh3_main_effect_spell_mastery|1|character_to_character_own
skill_lock,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_nor_fimir_balefiend_fire_shared_1,wh3_dlc27_skill_nor_shaman_balefiend_shared_dangerous_practice,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_passive_dangerous_practice}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_passive_dangerous_practice}},wh3_dlc27_character_passive_soul_eater.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc27_skill_nor_balefiend_shared_shadow_dealings,Ritual of Growth,1,,,,,,,,character_skill_nodes_skill_locks_tables,wh3_dlc27_skill_node_nor_fimir_balefiend_fire_shared_1|wh3_dlc27_skill_nor_balefiend_shared_shadow_dealings|1
skill_lock,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh3_dlc27_skill_node_nor_fimir_balefiend_fire_shared_1,wh3_dlc27_skill_nor_shaman_balefiend_shared_dangerous_practice,{{tr:unit_abilities_onscreen_name_wh3_dlc27_character_passive_dangerous_practice}},{{tr:unit_abilities_tooltip_text_wh3_dlc27_character_passive_dangerous_practice}},wh3_dlc27_character_passive_soul_eater.png,0,3,0,0,true,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wh3_dlc27_skill_nor_shaman_balefiend_shared_warrior_shaman,Warrior-Shaman,1,,,,,,,,character_skill_nodes_skill_locks_tables,wh3_dlc27_skill_node_nor_fimir_balefiend_fire_shared_1|wh3_dlc27_skill_nor_shaman_balefiend_shared_warrior_shaman|1
node,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh_dlc08_skill_node_nor_fimir_balefiend_fire_campaign_01,wh2_main_skill_all_hero_assist_army_replenish_troops,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,campaign_replenishment.png,0,5,0,0,true,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_nodes_tables,wh_dlc08_skill_node_nor_fimir_balefiend_fire_campaign_01
skill_level,warhammer_3,8.1.1,24237342,Norsca,norsca,wh_dlc08_sc_nor_norsca,Fimir Balefiend (Fire),Fimir_Balefiend_Fire,hero,wh_dlc08_nor_fimir_balefiend_fire,dignitary,dignitary,wh2_dlc13_nor_norsca_invasion|wh2_dlc17_nor_deadwood_ravagers|wh2_main_nor_aghol|wh2_main_nor_hung_incursion_def|wh2_main_nor_hung_incursion_hef|wh2_main_nor_hung_incursion_lzd|wh2_main_nor_hung_incursion_skv|wh2_main_nor_mung|wh2_main_nor_skeggi|wh3_dlc20_nor_dolgan|wh3_dlc20_nor_kul|wh3_dlc20_nor_tong|wh3_dlc27_nor_norsca_dm|wh3_dlc27_nor_sayl|wh3_dlc27_the_narj|wh_dlc08_nor_goromadny_tribe|wh_dlc08_nor_helspire_tribe|wh_dlc08_nor_naglfarlings|wh_dlc08_nor_norsca|wh_dlc08_nor_vanaheimlings|wh_dlc08_nor_wintertooth|wh_main_nor_aesling|wh_main_nor_baersonling|wh_main_nor_bjornling|wh_main_nor_graeling|wh_main_nor_norsca_qb1|wh_main_nor_norsca_qb2|wh_main_nor_norsca_qb3|wh_main_nor_norsca_rebels|wh_main_nor_norsca_separatists|wh_main_nor_norsca_separatists_sorcerer_lord|wh_main_nor_sarl|wh_main_nor_skaeling|wh_main_nor_varg,false,false,true,true,true,true,,,wh_dlc08_skill_node_set_nor_fimir_balefiend_fire,,1,dignitary,false,false,,,,wh_dlc08_skill_node_nor_fimir_balefiend_fire_campaign_01,wh2_main_skill_all_hero_assist_army_replenish_troops,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,campaign_replenishment.png,0,5,0,0,true,0,3,2,{{tr:agent_action_name_replenish_troops}},Those in the army can find succour or be replenished by the power of this champion.,4,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,character_skill_level_details_tables,wh2_main_skill_all_hero_assist_army_replenish_troops|2|||
